timestamp, pose_x, pose_y, velocity_x, velocity_y
2.53333,9.85154,-3.93716,-5.95673,0.0564858
2.56667,9.64655,-3.9452,-5.97703,0.0251324
2.6,9.43641,-3.95186,-6.01147,0.00147216
2.63333,9.22368,-3.95835,-6.05048,-0.0191816
2.66667,9.011,-3.9635,-6.08519,-0.0334359
2.7,8.81781,-3.97019,-6.05471,-0.0510383
2.73333,8.62106,-3.97629,-6.03872,-0.0649072
2.76667,8.41949,-3.98158,-6.03959,-0.0747908
2.8,8.2166,-3.98555,-6.04454,-0.0794606
2.83333,8.01112,-3.98655,-6.05716,-0.0742511
2.86667,7.80364,-3.98645,-6.07476,-0.0661188
2.9,7.59689,-3.98428,-6.08822,-0.0523082
2.93333,7.40705,-3.9872,-6.04685,-0.0560326
2.96667,7.21355,-3.98845,-6.0214,-0.0540672
3,7.02437,-3.97216,-5.98496,0.00306132
3.03333,6.83237,-3.95592,-5.9613,0.0540126
3.06667,6.6368,-3.93998,-5.95137,0.0986801
3.1,6.43784,-3.92636,-5.95321,0.1313
3.13333,6.23274,-3.92914,-5.97423,0.108705
3.16667,6.0287,-3.93202,-5.98972,0.0881699
3.2,5.83305,-3.92263,-5.97704,0.108546
3.23333,5.62906,-3.92575,-5.99207,0.0872485
3.26667,5.43354,-3.93234,-5.97876,0.0572556
3.3,5.23339,-3.9364,-5.98147,0.0383962
3.33333,5.03535,-3.94203,-5.97721,0.0165968
3.36667,4.83448,-3.94553,-5.98236,0.00380488
3.4,4.64141,-3.95309,-5.96235,-0.0204795
3.43333,4.446,-3.95731,-5.9518,-0.0316415
3.46667,4.24079,-3.96356,-5.97335,-0.0480542
3.5,4.0494,-3.97435,-5.94896,-0.0770637
3.53333,3.8567,-3.97994,-5.93129,-0.0866259
3.56667,3.67219,-3.9919,-5.88961,-0.115259
3.6,3.48025,-3.99791,-5.87574,-0.12212
3.63333,3.29159,-4.00973,-5.85301,-0.146587
3.66667,3.10337,-4.02047,-5.83132,-0.165083
3.7,2.91335,-4.03179,-5.81755,-0.183429
3.73333,2.72155,-4.04521,-5.81086,-0.206505
3.76667,2.52807,-4.05775,-5.81017,-0.224385
3.8,2.33515,-4.07264,-5.8078,-0.247779
3.83333,2.1213,-4.06292,-5.87177,-0.191008
3.86667,1.91667,-4.05672,-5.8999,-0.151305
3.9,1.71651,-4.0584,-5.91093,-0.140697
3.93333,1.51333,-4.06256,-5.93033,-0.13901
3.96667,1.31175,-4.06849,-5.94266,-0.143124
4,1.1157,-4.07353,-5.93623,-0.143963
4.03333,0.91524,-4.07216,-5.94439,-0.12448
4.06667,0.716231,-4.0792,-5.94712,-0.133618
4.1,0.51666,-4.08458,-5.95132,-0.136545
4.13333,0.316092,-4.08871,-5.95825,-0.13522
4.16667,0.116375,-4.09019,-5.96175,-0.125642
4.2,-0.0851593,-4.08875,-5.97061,-0.107865
4.23333,-0.285447,-4.08524,-5.97462,-0.0854437
4.26667,-0.478591,-4.07742,-5.95565,-0.0517597
4.3,-0.667307,-4.06692,-5.92467,-0.013141
4.33333,-0.853546,-4.05316,-5.88915,0.0316884
4.36667,-1.03847,-4.03549,-5.85322,0.0841479
4.4,-1.21565,-4.01627,-5.79659,0.135994
4.43333,-1.39198,-4.00689,-5.74327,0.151307
4.46667,-1.56002,-3.99766,-5.66937,0.164538
4.5,-1.72505,-3.98684,-5.59373,0.181378
4.53333,-1.88471,-3.97848,-5.50911,0.188671
4.56667,-2.04207,-3.96884,-5.42615,0.199279
4.6,-2.19189,-3.96173,-5.32806,0.200736
4.63333,-2.33888,-3.95688,-5.23141,0.194916
4.66667,-2.48045,-3.95439,-5.12779,0.182257
4.7,-2.61453,-3.95186,-5.01144,0.171064
4.73333,-2.7478,-3.94879,-4.90476,0.162774
4.76667,-2.87688,-3.94626,-4.7961,0.153632
4.8,-2.99964,-3.94448,-4.67888,0.143065
4.83333,-3.11659,-3.93933,-4.55572,0.144279
4.86667,-3.23097,-3.93462,-4.43738,0.143972
4.9,-3.34641,-3.93593,-4.33482,0.124672
