timestamp, pose_x, pose_y, velocity_x, velocity_y, angle
8,0.999985,-4,5.99999,0,0
8.03333,1.19998,-4,5.99999,0,0
8.06667,1.39998,-4,5.99999,0,0
8.1,1.59998,-4,5.99999,0,0
8.13333,1.79998,-4,5.99999,0,0
8.16667,1.99998,-4,5.99999,0,0
8.2,2.19998,-4,5.99999,0,0
8.23333,2.39998,-4,5.99999,0,0
8.26667,2.59998,-4,5.99999,0,0
8.3,2.79998,-4,5.99999,0,0
8.33333,2.99998,-4,5.99999,0,0
8.36667,3.19998,-4,5.99999,0,0
8.4,3.39998,-4,5.99999,0,0
8.43333,3.59998,-4,5.99999,0,0
8.46667,3.79998,-4,5.99999,0,0
8.5,3.99998,-4,5.99999,0,0
8.53333,4.19998,-4,5.99999,0,0
8.56667,4.39998,-4,5.99999,0,0
8.6,4.59998,-4,5.99999,0,0
8.63333,4.79998,-4,5.99999,0,0
8.66667,4.99998,-4,5.99999,0,0
8.7,5.19998,-4,5.99999,0,0
8.73333,5.39998,-4,5.99999,0,0
8.76667,5.59998,-4,5.99999,0,0
8.8,5.79998,-4,5.99999,0,0
8.83333,5.99998,-4,5.99999,0,0
8.86667,6.19998,-4,5.99999,0,0
8.9,6.39998,-4,5.99999,0,0
8.93333,6.59998,-4,5.99999,0,0
8.96667,6.79998,-4,5.99999,0,0
9,6.99998,-4,5.99999,0,0
9.03333,7.19998,-4,5.99999,0,0
9.06667,7.39998,-4,5.99999,0,0
9.1,7.59998,-4,5.99999,0,0
9.13333,7.79998,-4,5.99999,0,0
9.16667,7.99998,-4,5.99999,0,0
9.2,8.19998,-4,5.99999,0,0
9.23333,8.39998,-4,5.99999,0,0
9.26667,8.59998,-4,5.99999,0,0
9.3,8.79998,-4,5.99999,0,0
9.33333,8.99998,-4,5.99999,0,0
9.36667,9.19998,-4,5.99999,0,0
9.4,9.39998,-4,5.99999,0,0
9.43333,9.59998,-4,5.99999,0,0
9.46667,9.79998,-4,5.99999,0,0
9.5,9.99998,-4,5.99999,0,0
9.53333,10.2,-4,5.99999,0,0
9.56667,10.4,-4,5.99999,0,0
9.6,10.6,-4,5.99999,0,0
9.63333,10.8,-4,5.99999,0,0
9.66667,11,-4,5.99999,0,0
9.7,11.2,-4,5.99999,0,0
9.73333,11.4,-4,5.99999,0,0
9.76667,11.6,-4,5.99999,0,0
9.8,11.8,-4,5.99999,0,0
9.83333,12,-4,5.99999,0,0
9.86667,12.2,-4,5.99999,0,0
9.9,12.4,-4,5.99999,0,0
9.93333,12.6,-4,5.99999,0,0
9.96667,12.8,-4,5.99999,0,0
